origin_country,total_flights,avg_velocity,avg_geo_altitude
Afghanistan,1,254.14,11353.8
Algeria,5,177.926,6109.335
Argentina,16,139.416875,4339.589999999999
Australia,384,105.17843342036552,4580.843277591973
Austria,18,138.33277777777778,8448.039999999999
Bahrain,13,198.4815384615385,8830.945
Bangladesh,3,167.67,11357.61
Belarus,1,196.26,7284.72
Belgium,5,251.738,9323.832
Bhutan,1,240.06,12382.5
Brazil,115,177.86034782608695,7657.750458715596
Brunei Darussalam,1,253.45,12717.78
Bulgaria,10,171.355,7396.48
Canada,447,131.7553811659193,6480.874213483146
Chile,41,190.43341463414635,8902.967368421052
China,217,193.246866359447,8410.513548387096
Colombia,20,159.94549999999998,7092.950000000001
Cook Islands,1,7.72,
Costa Rica,2,35.83,3048.0
Croatia,1,203.69,11551.92
Czech Republic,18,201.13277777777776,9144.448235294118
Denmark,2,169.23,8698.23
Dominican Republic,4,213.4275,9865.994999999999
Ecuador,1,228.49,12031.98
Egypt,38,217.09684210526316,9266.15090909091
Estonia,1,121.96,4808.22
Ethiopia,15,240.534,11758.748571428572
Fiji,3,215.91333333333333,12407.9
Finland,7,218.92000000000002,10574.02
France,58,163.2298275862069,7547.687755102041
Georgia,3,102.80666666666667,10706.1
Germany,66,181.05257575757574,9179.224528301887
Greece,16,120.994375,8279.553333333333
Guatemala,3,80.54333333333334,3713.48
Hungary,3,219.5,7896.86
Iceland,13,215.28923076923078,10380.784615384617
India,86,186.50883720930233,8373.440547945205
Indonesia,35,177.70771428571427,6361.545454545455
Iraq,1,273.48,12367.26
Ireland,66,173.16257575757575,8236.373333333335
Islamic Republic of Iran,1,234.17,12672.06
Israel,26,244.2419230769231,11326.9776
Italy,7,152.04999999999998,6915.150000000001
Japan,207,161.98589371980677,6953.25
Jordan,14,224.57714285714286,9051.973846153847
Kazakhstan,2,222.49,11033.76
Kenya,4,229.175,10650.855
Kingdom of the Netherlands,28,175.82107142857143,7532.023636363636
Kuwait,8,233.9775,10621.3275
Libyan Arab Jamahiriya,1,84.31,480.06
Lithuania,2,253.405,11357.61
Luxembourg,7,241.04,9240.882857142857
Malaysia,42,168.32738095238096,6672.970769230769
Maldives,1,1.29,
Malta,40,176.53799999999998,7725.65027027027
Mauritania,1,229.21,13152.12
Mauritius,1,174.4,6073.14
Mexico,77,186.75493506493507,8223.009729729729
Morocco,5,142.91400000000002,11673.839999999998
Myanmar,2,152.91,
Nepal,1,233.73,11414.76
New Zealand,108,74.1899074074074,2053.7031683168316
Nigeria,1,240.14,12801.6
Norway,8,146.83249999999998,4509.951428571429
Oman,7,218.08714285714288,8648.7
Pakistan,4,194.9725,6608.445
Panama,24,220.97333333333333,10461.9425
Paraguay,1,109.19,5768.34
Philippines,36,141.05194444444444,5793.047272727273
Poland,28,250.44285714285712,9631.348695652174
Portugal,27,167.21407407407406,8553.103636363636
Qatar,51,235.28196078431375,9641.84
Republic of Korea,117,170.91692307692307,6532.115533980583
Republic of Moldova,5,238.196,10468.356
Romania,10,185.35,10051.7325
Russian Federation,21,156.65857142857143,8658.70125
San Marino,2,226.095,9395.46
Saudi Arabia,22,196.51909090909092,8941.1175
Serbia,9,168.17777777777778,6161.7225
Singapore,30,207.82566666666668,8947.008888888888
Slovakia,2,135.095,3657.6
South Africa,2,212.305,8126.7300000000005
Spain,50,196.8872,9406.26976744186
Sri Lanka,6,233.65,9756.140000000001
Sweden,9,191.41,9127.671428571428
Switzerland,15,171.7864285714286,10773.918
Syrian Arab Republic,2,230.85500000000002,9646.919999999998
Taiwan,67,165.7097014925373,7881.092830188679
Thailand,34,170.14352941176472,7080.504
Trinidad and Tobago,4,206.89999999999998,10182.225
Tunisia,4,224.5175,10640.06
Turkey,189,220.44359788359787,9969.352325581396
Ukraine,3,239.87,11361.42
United Arab Emirates,109,229.72238532110094,9620.949795918366
United Kingdom,212,190.65193396226414,9788.295319148936
United Republic of Tanzania,1,207.64,11315.7
United States,5754,134.11800487041225,5680.31101224014
Uzbekistan,4,226.9525,11214.1
Viet Nam,13,185.99615384615385,9658.696363636363
