icao24,origin_country,velocity,geo_altitude
e8027e,Chile,184.61,5585.46
aa3cbe,United States,52.43,2217.42
ab6fdd,United States,140.56,1996.44
a5953a,United States,0.0,
8a02ff,Indonesia,69.85,106.68
80163d,India,210.62,8526.78
ab2984,United States,72.24,640.08
aa096a,United States,48.79,944.88
3be3ff,France,0.0,
a3a568,United States,83.72,2735.58
aae316,United States,233.67,11529.06
acdfa3,United States,214.18,10706.1
a2cbaf,United States,58.67,594.36
a36880,United States,68.04,914.4
ab1667,United States,241.18,12618.72
a0e247,United States,57.56,640.08
ad6966,United States,139.5,4960.62
a09260,United States,125.99,1295.4
a5954e,United States,257.28,9410.7
aa9300,United States,142.5,1257.3
acdfbe,United States,40.13,990.6
801623,India,88.09,754.38
801621,India,222.5,12047.22
851914,Japan,224.98,12382.5
80160f,India,227.1,9441.18
aaf656,United States,221.99,12298.68
a6053c,United States,55.8,853.44
a5e550,United States,65.51,1188.72
ad5622,United States,229.89,11308.08
aae333,United States,73.31,541.02
a89eb9,United States,58.73,1066.8
a0e250,United States,236.21,8976.36
a2ded8,United States,0.0,
0d1314,Mexico,242.82,11338.56
a34215,United States,242.12,11292.84
80161e,India,180.67,5455.92
a2355d,United States,240.08,8709.66
e8023b,Chile,192.94,6591.3
ac498d,United States,91.06,3223.26
ab0356,United States,216.02,11978.64
a2228b,United States,142.63,1866.9
aad012,United States,177.15,4724.4
ae6307,United States,78.22,22.86
abacd2,United States,242.51,10515.6
801683,India,183.14,2773.68
801689,India,188.58,4419.6
4bc8c2,Turkey,246.81,11262.36
e80259,Chile,229.62,12390.12
a53eb2,United States,46.71,1051.56
801680,India,227.72,8343.9
e8024c,Chile,192.49,7520.94
a950f7,United States,174.45,11315.7
e8024a,Chile,0.0,
a710fe,United States,48.38,762.0
71c784,Republic of Korea,142.99,3459.48
ad563d,United States,258.85,13159.74
4bc8d6,Turkey,260.94,11033.76
a3eba1,United States,67.91,1059.18
a4d838,United States,265.27,11894.82
a2226b,United States,58.24,784.86
a35592,United States,227.09,11658.6
ad5679,United States,258.16,11277.6
acdffc,United States,237.46,8503.92
e80270,Chile,199.54,10096.5
ac3688,United States,252.77,12527.28
801665,India,248.96,12915.9
e80275,Chile,237.91,10439.4
801666,India,268.42,12420.6
adecb6,United States,75.93,220.98
e8026a,Chile,214.11,8115.3
80165d,India,220.02,6560.82
e8026d,Chile,226.22,11719.56
e8026c,Chile,248.09,13929.36
a3fee7,United States,238.83,12847.32
ae6317,United States,4.89,
e4a7ae,Brazil,256.97,10873.74
a3689e,United States,0.0,
ac1042,United States,104.92,891.54
a3b86c,United States,122.26,2103.12
a4c527,United States,200.28,8900.16
a53ee2,United States,0.0,
e8027a,Chile,131.71,2743.2
505f15,Slovakia,181.44,6103.62
abad94,United States,244.4,10690.86
